rest_name,rest_zone,rating,review,rest_address,rest_type,rest_cost,rest_time
Lemongrass,Bogor Utara,4.1,"(2,066 Ulasan)","Jl. Raya Pajajaran No. 21, Bogor Utara, Bogor","Peranakan, Indonesia, Dimsum",Harga untuk 2:Rp250.000,"Jam:                                      10h - 22h (Sen, Sel, Rab, Kam, Min), 10h - 23h..."
Wing Heng Hongkong Dim Sum Shop,Pluit,4.5,"(1,253 Ulasan)","Jl. Pluit Karang Utara, Blok A4U No. 65A, Pluit, Jakarta","Dimsum, Chinese",Harga untuk 2:Rp150.000,Jam:                                      24 Jam (Sen-Min)
Table8 - Hotel Mulia,"Hotel Mulia, Senayan",4.8,(749 Ulasan),"Hotel Mulia, Jl. Asia Afrika, Senayan, Jakarta 10270","Chinese, Dimsum",Harga untuk 2:Rp800.000,"Jam:                                      12h - 14h 30m, 18h - 22h 30m (Sen-Jum),8h - 14h 30m..."
Warung Nagih,Mampang Prapatan,3.9,(830 Ulasan),"Food Lab, Jl. Kapten Tendean No. 41, Senopati, Jakarta","Makanan Jalanan, Indonesia, Dimsum",Harga untuk 2:Rp80.000,"Jam:                                      17h - 1h (Sen-Kam),17h - 1h 30m (Jum-Min)"
Happy Day,Gambir,4.0,(851 Ulasan),"Jl. Ir. H. Juanda No 19, Gambir, Jakarta","Indonesia, Barat, Itali, Dimsum",Harga untuk 2:Rp120.000,Jam:                                      11h - 20h 30m (Sen-Min)
"Li Feng - Mandarin Oriental, Jakarta","Mandarin Oriental Hotel, Thamrin",4.6,(449 Ulasan),"Hotel Mandarin Oriental, Jakarta, Jl. M. H. Thamrin, Thamrin, Jakarta 10310","Chinese, Dimsum",Harga untuk 2:Rp650.000,"Jam:                                      11h 30m - 14h 30m, 18h - 21h (Sen-Jum),11h 30m -..."
Pao Pao Liquor Bar & Dimsum Parlour,Senopati,4.1,(568 Ulasan),"Jl. Senopati No. 16, Senopati, Jakarta","Chinese, Hanya Minuman, Dimsum",Harga untuk 2:Rp300.000,"Jam:                                      17h - 1h (Sen-Sab),Tutup (Min)"
Haka Dimsum Shop,Kemang,4.2,(322 Ulasan),"Jl. Kemang Selatan VIII No.44A, Kemang, Jakarta",Dimsum,Harga untuk 2:Rp100.000,Jam:                                      24 Jam (Sen-Min)
Arts Cafe - Raffles Jakarta,"Raffles Jakarta, Karet",4.4,(438 Ulasan),"Raffles Jakarta, Jl. Prof. Dr. Satrio No. 3 - 5, Karet, Jakarta 12940","Barat, Dimsum",Harga untuk 2:Rp450.000,Jam:                                      7h - 21h (Sen-Min)
Imperial Shanghai Lamian Xiao Long Bao,"Plaza Indonesia, Thamrin",4.7,(444 Ulasan),"Plaza Indonesia, Lantai 1, Jl. M. H. Thamrin, Thamrin, Jakarta","Chinese, Dimsum",Harga untuk 2:Rp450.000,Jam:                                      10h - 22h (Sen-Min)
