,Restaurant_ID,Name,Type,Area,Rating,Review,Restaurant Address,Latitude,Longitude,Price
0,0,Hause Rooftop,"['Casual Dining', 'Bar', 'Western', 'Coffee', 'Tea']",Setiabudi,4.3,1282,"MD Place Bulding, Lantai 6, Jl. Setiabudi Selatan No. 7, Kuningan, Jakarta",-62.081.643.570,106.828.454.285,
1,1,The Neighbourhood,"['Fine Dining', 'Indonesian']",Dharmawangsa,4.4,770,"Jl. Cipaku I No. 85, Dharmawangsa, Jakarta 12170",-62.395.528.820,106.814.613.081,
2,2,SKYE,"['Fine Dining', 'Lounge', 'Fusion', 'European', 'Asian']",Thamrin,4.3,2827,"Menara BCA, Lantai 56, Jl. MH. Thamrin, Thamrin, Jakarta",-61.967.130.000,106.822.580.000,
3,3,WAKI Japanese BBQ Dining,"['Casual Dining', 'Japanese', 'BBQ']",Thamrin,4.9,2995,"Lantai 1, Jl. Tanjung Karang No. 5, Thamrin, Jakarta",-62.011.260.000,106.822.306.000,
4,4,3 Wise Monkeys,"['Casual Dining', 'Japanese', 'Sushi']",Senopati,4.2,2091,"Jl. Senopati No. 46, Senopati, Jakarta",-62.311.835.698,106.808.081.232,
5,5,GIOI,"['Casual Dining', 'Asian']",Senopati,4.8,1287,"Jl. Senopati Raya No. 88, Senopati, Jakarta 12190",-62.329.230.352,106.811.388.060,
6,6,Bottega Ristorante,"['Casual Dining', 'Bar', 'Italian']",SCBD,4.1,1366,"Fairgrounds, SCBD Lot 14, Jl. Jenderal Sudirman, SCBD, Jakarta 12190",-62.263.060.000,106.807.505.000,
7,7,Twinhouse,"['Casual Dining', 'Asian', 'Western', 'Italian']",Fatmawati,4.3,1030,"Jl. Cipete Raya No. 4B, Fatmawati, Jakarta",-62.786.330.000,106.804.856.000,
8,8,Toodz House,"['Café', 'Casual Dining', 'Coffee', 'Italian', 'Asian']",Fatmawati,4.6,2606,"Jl. Cipete Raya No. 79, Fatmawati, Jakarta",-62.779.000.000,106.801.808.000,
9,9,Okuzono,"['Casual Dining', 'Japanese']",Senopati,4.4,1095,"Jl. Suryo No. 1, Senopati, Jakarta",-62.336.152.869,106.812.021.397,
10,10,SIKU,"['Casual Dining', 'Desserts', 'Indonesian', 'American', 'Coffee', 'Tea']",Dharmawangsa,4.1,916,"Jl. Dharmawangsa X No. 120A, Dharmawangsa, Jakarta",-62.576.242.210,106.800.790.987,
11,11,The Edge,"['Casual Dining', 'Asian', 'Grill']",Kemang,3.8,869,"Kemang Icon Building, Lantai 5, Jl. Kemang Raya I, Kemang, Jakarta",-62.558.618.413,106.815.133.430,
12,12,Tucano's Churrascaria - Brazilian BBQ & Buffet,"['Casual Dining', 'Steak', 'Grill', 'BBQ', 'South American']",Sudirman,4.7,769,"Pavilion Retail Arcade, Lantai Dasar, Jl. K.H Mas Mansyur, Sudirman, Jakarta",-62.079.620.378,106.817.726.790,
13,13,Bunga Rampai,"['Fine Dining', 'Indonesian']",Menteng,4.5,1167,"Jl. Teuku Cik Ditiro No. 35, Menteng, Jakarta",-61.985.180.000,106.837.351.000,
14,14,Sofia at The Gunawarman,"['Casual Dining', 'Western', 'European', 'Asian']",Senopati,4.2,1092,"The Gunawarman, Jl. Gunawarman No. 3, Senopati, Jakarta 12110",-62.320.558.029,106.807.750.314,
15,15,MammaRosy,"['Casual Dining', 'Italian', 'Pizza']",Kemang,4.3,1433,"Jl. Kemang Raya No. 58, Kemang, Jakarta",-62.635.430.000,106.815.788.000,
16,16,Blue Jasmine,"['Casual Dining', 'Peranakan', 'Indonesian']",Blok M,4.3,707,"The Maja, Jl. Kyai Maja No. 39, Blok M, Jakarta",-62.410.583.508,106.789.364.107,
17,17,Odysseia,"['Casual Dining', 'Desserts', 'European', 'Indonesian']",SCBD,4.0,1010,"Pacific Place Mall, Lantai South Lobby, Jl. Jenderal Sudirman, SCBD, Jakarta",-62.261.190.000,106.809.930.000,
18,18,Le Quartier,"['Casual Dining', 'Wine Bar', 'French', 'Western']",Senopati,4.6,1228,"Jl. Gunawarman No. 34, Senopati, Jakarta",-62.377.367.816,106.807.217.560,
19,19,Lawless Burgerbar,"['Casual Dining', 'Burger']",Kemang,4.7,1893,"Jl. Kemang Selatan VIII No. 67H-67I, Kemang, Jakarta",-62.679.110.938,106.814.406.551,
20,20,Henshin - The Westin Jakarta,"['Fine Dining', 'Bar', 'Peruvian', 'Japanese']",Kuningan,4.5,996,"The Westin Jakarta, Lantai 67-69, Jl. H. R. Rasuna Said, Kuningan, Jakarta 12940",-62.242.916.437,106.833.816.692,
21,21,Kashiwa,"['Casual Dining', 'Bar', 'Japanese']",Melawai,4.3,1091,"Jl. Melawai 8 No. 2A, Melawai, Jakarta",-62.449.631.508,106.799.346.953,
22,22,On Three,"['Café', 'Cafe', 'Desserts', 'Coffee', 'Tea']",SCBD,4.2,783,"Senopati Suites 3, 3rd Floor, Jl. Senopati Raya 41, Kebayoran Baru, RT.8/RW.2, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta",-62.294.101.023,106.802.603.825,
23,23,Sushi Hiro,"['Casual Dining', 'Japanese']",Senopati,4.6,6841,"Jl. Suryo No. 24, Senopati, Jakarta",-62.352.284.263,106.813.301.146,
24,24,Lemongrass,"['Casual Dining', 'Peranakan', 'Indonesian', 'Dimsum']",Bogor Utara,4.1,2065,"Jl. Raya Pajajaran No. 21, Bogor Utara, Bogor",-65.767.095.881,106.808.047.033,
25,25,Lucy in the Sky,"['Lounge', 'Casual Dining', 'Western', 'Asian']",SCBD,4.0,1110,"Fairgrounds, SCBD Lot 14, Jl. Jenderal Sudirman, SCBD, Jakarta",-62.264.180.000,106.807.119.000,
26,26,Lucky Cat Coffee & Kitchen,"['Café', 'Casual Dining', 'Cafe', 'Western']",Kuningan,4.2,1694,"Plaza Festival, South Parking, Jl. H.R. Rasuna Said, Kuningan, Jakarta",-62.219.895.377,106.833.554.171,
27,27,Daitokyo Sakaba,"['Quick Bites', 'Japanese', 'Ramen']",Melawai,4.3,1280,"Jl. Melawai 9 No. 26, Melawai, Jakarta",-62.455.444.022,106.800.359.152,
28,28,Plataran Menteng,"['Fine Dining', 'Indonesian']",Menteng,4.4,915,"Jl. HOS. Cokroaminoto No. 42, Menteng, Jakarta",-61.919.540.000,106.828.573.000,
29,29,Wyl's Kitchen - Veranda Hotel At Pakubuwono,"['Casual Dining', 'Indonesian']",Gandaria,4.3,956,"Veranda Hotel At Pakubuwono, Jl. Kyai Maja No. 63, Gandaria, Jakarta 12130",-62.399.460.000,106.785.755.000,
30,30,Giyanti Coffee Roastery,"['Café', 'Coffee']",Cikini,4.8,1372,"Jl. Surabaya No. 20, Cikini, Jakarta",-61.989.270.000,106.839.468.000,
31,31,Legend of Noodle,"['Casual Dining', 'Korean']",Senopati,4.6,1463,"Jl. Senopati No. 81, Senopati, Jakarta",-62.332.056.686,106.812.229.603,
32,32,Cork & Screw Country Club,"['Lounge', 'Casual Dining', 'European', 'Grill', 'Asian']",Senayan,4.1,761,"Senayan National Golf Club - The Maj Senayan, Jl. Asia Afrika Pintu IX, Senayan, Jakarta",-62.256.045.096,106.797.773.838,
33,33,Cutt & Grill,"['Casual Dining', 'Grill', 'Burger', 'Steak', 'Kebab']",Tebet,4.6,1210,"Jl. Tebet Barat Dalam Raya No. 23, Tebet, Jakarta",-62.357.880.000,106.846.870.000,
34,34,Kintaro Sushi,"['Casual Dining', 'Sushi', 'Japanese']",Senopati,4.7,3316,"Jl. Suryo No. 20, Senopati, Jakarta",-62.346.211.665,106.813.008.785,
35,35,Kopi Kalyan,"['Café', 'Cafe', 'Western', 'Indonesian']",Senopati,4.2,955,"Jl. Cikajang No. 61, Senopati, Jakarta",-62.433.297.108,106.809.213.124,
36,36,Social House,"['Casual Dining', 'Italian', 'Japanese']",Thamrin,4.3,2123,"Grand Indonesia Mall, East Mall, Lantai 1, Jl. M. H. Thamrin No. 1, Thamrin, Jakarta",-61.951.780.000,106.820.437.000,
37,37,Namaaz Dining,"['Fine Dining', 'Indonesian']",Senopati,4.9,927,"Jl. Gunawarman No. 42, Senopati, Jakarta",-62.385.876.732,106.806.963.086,
38,38,Hokkaido Izakaya,"['Casual Dining', 'Japanese', 'Sushi']",Sudirman,4.7,1134,"Pavilion Retail Arcade, Lantai Dasar, Jl. K.H. Mas Mansyur Kav. 24, Sudirman, Jakarta",-62.077.490.000,106.817.745.000,
39,39,JimBARan Lounge - AYANA Midplaza JAKARTA,"['Lounge', 'Bar', 'Asian']",Sudirman,4.1,536,"AYANA Midplaza JAKARTA, Jl. Jend. Sudirman Kav. 10-11, Sudirman, Jakarta",-62.090.232.960,106.819.872.893,
40,40,La Vue Rooftop Bar - The Hermitage,"['Lounge', 'Casual Dining', 'Finger Food', 'Western']",Cikini,4.2,371,"The Hermitage, Lantai 9. Jl. Cilacap No. 1, Menteng, Jakarta 10310",-61.982.800.000,106.838.072.000,
41,41,OKU - Hotel Indonesia Kempinski,"['Fine Dining', 'Bar', 'Japanese', 'Sushi']",Thamrin,4.9,933,"Hotel Indonesia Kempinski, Jl. M. H. Thamrin, Thamrin, Jakarta",-61.956.170.000,106.822.359.000,
42,42,Eighty/Nine Eatery & Spirit,"['Casual Dining', 'Western', 'Asian']",Kemang,4.2,1028,"Jl. Kemang Raya No. 89, Kemang, Jakarta",-62.704.200.000,106.815.768.000,
43,43,BART - Bar at The Roof Top - Artotel Jakarta,"['Casual Dining', 'Continental', 'Indonesian']",Thamrin,4.0,540,"Artotel Jakarta, Lantai 7, Jl. Sunda No. 3, Thamrin, Jakarta",-61.888.510.000,106.824.792.000,
44,44,Paulaner Brauhaus,"['Bar', 'Casual Dining', 'German']",Thamrin,4.6,1912,"Grand Indonesia Mall, East Mall, Lantai 2, Jl. M. H. Thamrin No. 1, Thamrin, Jakarta",-61.963.100.000,106.822.536.000,
45,45,Seasonal Tastes - The Westin Jakarta,"['Casual Dining', 'Indonesian', 'Indian', 'Western']",Kuningan,4.4,863,"The Westin Jakarta, Jl. H. R. Rasuna Said, Kuningan, Jakarta",-62.243.216.407,106.833.692.975,
46,46,Seirock-Ya,"['Casual Dining', 'Japanese', 'Ramen']",Gandaria,4.7,1571,"Jl. Ahmad Dahlan no. 22, Gandaria, Jakarta",-62.464.100.000,106.791.743.000,
47,47,Sushi Masa,"['Casual Dining', 'Sushi', 'Japanese']",Pluit,4.9,1544,"Jl. Tuna Raya No. 5, Pluit, Jakarta",-61.013.300.000,106.800.190.000,
48,48,Warung MJS,"['Casual Dining', 'Jawa', 'Indonesian']",Setiabudi,4.4,1223,"Jl. Setiabudi Tengah No.11, Setiabudi, Jakarta",-62.092.899.434,106.826.593.838,
49,49,Bluegrass Bar & Grill,"['Bar', 'Casual Dining', 'Grill', 'American', 'European']",Kuningan,4.5,1020,"Bakrie Tower, Lantai Ground, Jl. H.R. Rasuna Said, Kuningan, Jakarta",-62.197.300.842,106.834.257.580,
50,50,Gordi HQ,"['Café', 'Coffee']",Cilandak,4.3,658,"Jl. Jeruk Purut Dalam No. 25, Cilandak, Jakarta 12560",-62.841.950.000,106.811.778.000,
51,51,MONKS,"['Casual Dining', 'Café', 'Western', 'Asian', 'Cafe']",Kelapa Gading,4.2,908,"Komplek Graha Boulevard Timur, Summarecon Kelapa Gading, Jl. Boulevard Timur, Blok ND 1 No. 51, Kelapa Gading, Jakarta",-61.640.986.132,106.911.238.655,
52,52,Por Que No,"['Casual Dining', 'Spanish']",Menteng,4.1,597,"De Ritz Building, Lantai 5, Jl. HOS. Cokroaminoto No. 91, Menteng, Jakarta",-61.978.970.000,106.828.710.000,
53,53,Crematology Coffee Roasters,"['Café', 'Casual Dining', 'Coffee', 'Italian', 'Western', 'Desserts']",Senopati,4.2,1221,"Jl. Suryo No. 25, Senopati, Jakarta",-62.355.727.176,106.813.828.870,
