Restaurant Name;Restaurant Type;Restaurant Area;Restaurant Rating;Restaurant Review;Restaurant Address;Latitude;Longitude;Price
Hause Rooftop;['Casual Dining', 'Bar', 'Western', 'Coffee', 'Tea'];Setiabudi;4.3;1,282 Reviews;MD Place Bulding, Lantai 6, Jl. Setiabudi Selatan No. 7, Kuningan, Jakarta;-62.081.643.570;106.828.454.285;Rp370.000 for two people (approx.) Without alcohol
The Neighbourhood;['Fine Dining', 'Indonesian'];Dharmawangsa;4.4;770 Reviews;Jl. Cipaku I No. 85, Dharmawangsa, Jakarta 12170;-62.395.528.820;106.814.613.081;Rp500.000 for two people (approx.) Without alcohol
SKYE;['Fine Dining', 'Lounge', 'Fusion', 'European', 'Asian'];Thamrin;4.3;2,827 Reviews;Menara BCA, Lantai 56, Jl. MH. Thamrin, Thamrin, Jakarta;-61.967.130.000;106.822.580.000;Breathtaking View
WAKI Japanese BBQ Dining;['Casual Dining', 'Japanese', 'BBQ'];Thamrin;4.9;2,995 Reviews;Lantai 1, Jl. Tanjung Karang No. 5, Thamrin, Jakarta;-62.011.260.000;106.822.306.000;Rp300.000 for two people (approx.) Without alcohol
3 Wise Monkeys;['Casual Dining', 'Japanese', 'Sushi'];Senopati;4.2;2,091 Reviews;Jl. Senopati No. 46, Senopati, Jakarta;-62.311.835.698;106.808.081.232;Rp450.000 for two people (approx.) Without alcohol
GIOI;['Casual Dining', 'Asian'];Senopati;4.8;1,287 Reviews;Jl. Senopati Raya No. 88, Senopati, Jakarta 12190;-62.329.230.352;106.811.388.060;Rp550.000 for two people (approx.) Without alcohol
Bottega Ristorante;['Casual Dining', 'Bar', 'Italian'];SCBD;4.1;1,366 Reviews;Fairgrounds, SCBD Lot 14, Jl. Jenderal Sudirman, SCBD, Jakarta 12190;-62.263.060.000;106.807.505.000;Faster Food Service
Twinhouse;['Casual Dining', 'Asian', 'Western', 'Italian'];Fatmawati;4.3;1,030 Reviews;Jl. Cipete Raya No. 4B, Fatmawati, Jakarta;-62.786.330.000;106.804.856.000;Rp250.000 for two people (approx.)
Toodz House;['Café', 'Casual Dining', 'Coffee', 'Italian', 'Asian'];Fatmawati;4.6;2,606 Reviews;Jl. Cipete Raya No. 79, Fatmawati, Jakarta;-62.779.000.000;106.801.808.000;Rp240.000 for two people (approx.)
Okuzono;['Casual Dining', 'Japanese'];Senopati;4.4;1,095 Reviews;Jl. Suryo No. 1, Senopati, Jakarta;-62.336.152.869;106.812.021.397;Rp300.000 for two people (approx.) Without alcohol
SIKU;['Casual Dining', 'Desserts', 'Indonesian', 'American', 'Coffee', 'Tea'];Dharmawangsa;4.1;916 Reviews;Jl. Dharmawangsa X No. 120A, Dharmawangsa, Jakarta;-62.576.242.210;106.800.790.987;Not very Crowded
The Edge;['Casual Dining', 'Asian', 'Grill'];Kemang;3.8;869 Reviews;Kemang Icon Building, Lantai 5, Jl. Kemang Raya I, Kemang, Jakarta;-62.558.618.413;106.815.133.430;Rp450.000 for two people (approx.) Without alcohol
Tucano's Churrascaria - Brazilian BBQ & Buffet;['Casual Dining', 'Steak', 'Grill', 'BBQ', 'South American'];Sudirman;4.7;769 Reviews;Pavilion Retail Arcade, Lantai Dasar, Jl. K.H Mas Mansyur, Sudirman, Jakarta;-62.079.620.378;106.817.726.790;Rp500.000 for two people (approx.) Without alcohol
Bunga Rampai;['Fine Dining', 'Indonesian'];Menteng;4.5;1,167 Reviews;Jl. Teuku Cik Ditiro No. 35, Menteng, Jakarta;-61.985.180.000;106.837.351.000;Rp750.000 for two people (approx.) Without alcohol
Sofia at The Gunawarman;['Casual Dining', 'Western', 'European', 'Asian'];Senopati;4.2;1,092 Reviews;The Gunawarman, Jl. Gunawarman No. 3, Senopati, Jakarta 12110;-62.320.558.029;106.807.750.314;Rp700.000 for two people (approx.) Without alcohol
MammaRosy;['Casual Dining', 'Italian', 'Pizza'];Kemang;4.3;1,433 Reviews;Jl. Kemang Raya No. 58, Kemang, Jakarta;-62.635.430.000;106.815.788.000;Rp300.000 for two people (approx.) Without alcohol
Blue Jasmine;['Casual Dining', 'Peranakan', 'Indonesian'];Blok M;4.3;707 Reviews;The Maja, Jl. Kyai Maja No. 39, Blok M, Jakarta;-62.410.583.508;106.789.364.107;Rp400.000 for two people (approx.) Without alcohol
Odysseia;['Casual Dining', 'Desserts', 'European', 'Indonesian'];SCBD;4.0;1,010 Reviews;Pacific Place Mall, Lantai South Lobby, Jl. Jenderal Sudirman, SCBD, Jakarta;-62.261.190.000;106.809.930.000;Good Quality Food
Le Quartier;['Casual Dining', 'Wine Bar', 'French', 'Western'];Senopati;4.6;1,228 Reviews;Jl. Gunawarman No. 34, Senopati, Jakarta;-62.377.367.816;106.807.217.560;Rp500.000 for two people (approx.) Without alcohol
