1.rest_name,2.rest_zone,3.rating,4.review,5.rest_address,6.rest_type,7.rest_cost,8.rest_time
Pizza Marzano,"Lippo Mall Puri @ St. Moritz, Puri Indah",4.1,(154 Ulasan),"Lippo Mall Puri @ The St. Moritz, Lantai Lower Ground, Jl. Puri Indah Boulevard Blok U No. 1, Puri Indah, Jakarta","Pizza, Itali",Harga untuk 2:Rp280.000,Jam:                                      10h - 22h (Sen-Min)
Pizza Hut,"Puri Indah Mall, Puri Indah",3.9,(95 Ulasan),"Puri Indah Mall, Lantai 1, Jl. Puri Indah Raya, Puri Indah, Jakarta","Pizza, Amerika",Harga untuk 2:Rp250.000,Jam:                                      10h - 22h (Sen-Min)
Pizza e Birra Sports Bar,"Puri Indah Mall, Puri Indah",3.8,(175 Ulasan),"Puri Indah Mall, Lantai Ground, Jl. Puri Indah Raya, Puri Indah, Jakarta","Itali, Pizza",Harga untuk 2:Rp300.000,Jam:                                      10h - 1h (Sen-Min)
PHD,Puri Indah,3.4,(7 Ulasan),"Jl Pesanggrahan, Puri Indah, Jakarta",Pizza,Harga untuk 2:Rp150.000,Jam:                                      10h - 22h (Sen-Min)
Pezzo Pizza,"Lippo Mall Puri @ St. Moritz, Puri Indah",3.0,(33 Ulasan),"Lippo Mall Puri @ The St. Moritz, Lantai Lower Ground, Jl. Puri Indah Boulevard Blok U No. 1, Puri Indah, Jakarta",Pizza,Harga untuk 2:Rp60.000,Jam:                                      10h - 22h (Sen-Min)
Domino's Pizza,Meruya,3.6,(12 Ulasan),"Ruko Mediterania, Jl. Meruya Ilir, Meruya, Jakarta","Pizza, Makanan Cepat Saji",Harga untuk 2:Rp160.000,Jam:                                      10h - 22h (Sen-Min)
Kedai Kita,Meruya,4.0,(480 Ulasan),"Jl. Taman Aries H 1 No. 1, Meruya, Jakarta","Pizza, Indonesia",Harga untuk 2:Rp170.000,Jam:                                      8h - 23h (Sen-Min)
Pizza Maru,"Gandaria City Mall, Gandaria",4.7,(502 Ulasan),"Gandaria City, Lantai Upper Ground, Jl. Sultan Iskandar Muda, Gandaria, Jakarta",Pizza,Harga untuk 2:Rp180.000,Jam:                                      10h - 22h (Sen-Min)
Selembar Pizza,Palmerah,3.8,(10 Ulasan),"Jl. Kyai H. Syahdan No. 104a, Palmerah, Jakarta","Kopi, Pizza",Harga untuk 2:Rp50.000,Jam:                                      11h - 23h (Sen-Min)
Dimyltee Pizza,Green Ville,4.5,(431 Ulasan),"Jl. Ratu Kemuning, Blok A2 No. 2D, Green Ville, Jakarta","Pizza, Itali",Harga untuk 2:Rp170.000,"Jam:                                      Tutup (Sen),11h - 20h (Sel-Min)"
Pizza Kayu Api,"The MAJ Senayan, Senayan",3.3,(43 Ulasan),"The MAJ Senayan, Senayan National Golf Club, Jl. Asia Afrika Pintu IX, Senayan, Jakarta","Pizza, Itali",Harga untuk 2:Rp400.000,Jam:                                      5h - 21h 30m (Sen-Min)
Basilico,"Gandaria City Mall, Gandaria",4.0,(153 Ulasan),"Gandaria City, Lantai Ground, Jl. Sultan Iskandar Muda, Gandaria, Jakarta","Pizza, Itali",Harga untuk 2:Rp250.000,"Jam:                                      10h - 22h (Sen, Sel, Rab, Kam, Min), 10h - 23h..."
Milan Pizzeria Cafe,Larangan,3.9,(140 Ulasan),"Jl. Hos Cokroaminoto No. 1C, Larangan, Tangerang","Pizza, Itali, Amerika",Harga untuk 2:Rp200.000,Jam:                                      10h - 24h (Sen-Min)
The Kitchen by Pizza Hut,"Neo SOHO Mall, Tanjung Duren",4.0,(198 Ulasan),"Neo SOHO Mall, Lantai Lower Ground, Jl. Letjen S. Parman, Tanjung Duren, Jakarta","Pizza, Itali",Harga untuk 2:Rp135.000,Jam:                                      10h - 22h (Sen-Min)
Papa Ron's Pizza,Senayan,3.8,(48 Ulasan),"Jl. Gerbang Pemuda, Senayan, Jakarta","Pizza, Itali",Harga untuk 2:Rp200.000,Jam:                                      9h - 21h (Sen-Min)
Pizza Mezzo,"Ruko Colosseum, Cipondoh",3.8,(17 Ulasan),"Ruko Colosseum, No. 1-2, Jl. Green Lake City Boulevard, Cipondoh, Tangerang","Pizza, Itali",Harga untuk 2:Rp80.000,Jam:                                      10h - 22h (Sen-Min)
Master Cheese Pizza,Tanjung Duren,3.8,(189 Ulasan),"Jl. Tanjung Duren Raya No. 363, Tanjung Duren, Jakarta","Pizza, Itali",Harga untuk 2:Rp100.000,"Jam:                                      11h - 23h (Sen, Sel, Rab, Kam, Sab, Min), 13h - 23h..."
Popolamama,"Mall Taman Anggrek, Tanjung Duren",4.4,(795 Ulasan),"Mall Taman Anggrek, Lantai 4, Jl. Tanjung Duren Timur 2, Tanjung Duren, Jakarta","Fusion, Itali, Asia, Pizza",Harga untuk 2:Rp200.000,Jam:                                      10h - 22h (Sen-Min)
Rumah Kita Di Tomang,Tomang,3.8,(35 Ulasan),"Jl. Mandala Raya No. 28BC, Tomang, Jakarta","Indonesia, Pizza, Chinese",Harga untuk 2:Rp60.000,"Jam:                                      10h - 20h 30m (Sen-Sab),Tutup (Min)"
MammaRosy,Kemang,4.3,"(1,430 Ulasan)","Jl. Kemang Raya No. 58, Kemang, Jakarta","Itali, Pizza",Harga untuk 2:Rp300.000,Jam:                                      11h - 22h (Sen-Min)
Pizza Place,"Como Park, Kemang",4.8,(807 Ulasan),"Como Park, Jl. Kemang Timur Raya No. 998, Kemang, Jakarta",Pizza,Harga untuk 2:Rp100.000,"Jam:                                      12h - 22h (Sen-Jum),9h 59m - 22h (Sab-Min)"
Padre,Bogor Timur,4.0,(88 Ulasan),"Jl. Pajajaran Indah V No. 37, Bogor Timur, Bogor","Itali, Pizza",Harga untuk 2:Rp300.000,"Jam:                                      9h - 22h (Sen, Sel, Rab, Kam, Jum, Min), 9h - 23h (Sab)"
Toscana,Kemang,4.5,(535 Ulasan),"Jl. Kemang Raya No. 120, Kemang, Jakarta","Itali, Pizza",Harga untuk 2:Rp500.000,Jam:                                      11h - 23h (Sen-Min)
Paper Plates Pizza,Pondok Indah,3.6,(14 Ulasan),"Jl. Sultan Iskandar Muda No.1B, Pondok Indah, Jakarta",Pizza,Harga untuk 2:Rp60.000,Jam:                                      8h - 21h (Sen-Min)
Pizzza Dealer,"Pelaspas Dharmawangsa, Dharmawangsa",3.6,(23 Ulasan),"Jl. Nipah Raya No.2 no 2, RT.4/RW.2, Pulo, Kebayoran Baru, South Jakarta City",Pizza,Harga untuk 2:Rp80.000,"Jam:                                      12h - 23h (Sen, Sel, Rab, Kam, Min), 12h - 24h..."
Sliced Pizzeria,Senopati,4.0,(66 Ulasan),"Jl. Tulodong Bawah No. 1A, Senopati, Jakarta","Pizza, Itali",Harga untuk 2:Rp100.000,Jam:                                      10h - 22h (Sen-Min)
Hyper Inc.,Sentul,3.8,(28 Ulasan),"Taman Budaya, Jl. Siliwangi No. 1, Sentul, Bogor",Pizza,Harga untuk 2:Rp150.000,"Jam:                                      14h - 24h (Sen-Sab),Tutup (Min)"
Pizzeria Cavalese,"Mall of Indonesia, Kelapa Gading",4.0,(69 Ulasan),"Mall of Indonesia, Lantai Ground, Jl. Boulevard Barat Raya, Kelapa Gading, Jakarta","Itali, Pizza",Harga untuk 2:Rp250.000,Jam:                                      11h - 20h (Sen-Min)
La Vera Pizza,"The Icon Business Park, Serpong",3.4,(29 Ulasan),"The Icon Business Park, Blok E No. 9, Jl. BSD Raya Barat, Serpong, Tangerang","Pizza, Itali",Harga untuk 2:Rp180.000,Jam:                                      12h - 23h (Sen-Min)
Giuliani Ristorante e Pizza,Sentul,4.3,(151 Ulasan),"Taman Budaya Sentul, Jl. Siliwangi No. 1, Sentul, Bogor","Itali, Pizza",Harga untuk 2:Rp150.000,"Jam:                                      Tutup (Sen),11h - 22h (Sel-Min)"
Pizza Grand Lucky,"Grand Lucky Superstore, SCBD",4.2,(156 Ulasan),"Grand Lucky Superstore, SCBD Lot 12, Jl. Jenderal Sudirman, SCBD, Jakarta",Pizza,Harga untuk 2:Rp70.000,Jam:                                      10h - 22h (Sen-Min)
The Kyfie Kitchen,Tebet,2.9,(66 Ulasan),"Jl. Tebet Raya No. 80, Tebet, Jakarta","Itali, Pizza",Harga untuk 2:Rp250.000,Jam:                                      8h - 22h (Sen-Min)
Black Sheep,Kemang,4.0,(137 Ulasan),"Jl. Kemang Raya No. 2, Kemang, Jakarta","Pizza, Itali",Harga untuk 2:Rp450.000,Jam:                                      6h - 1h (Sen-Min)
Clique Kitchen & Bar,Serpong Utara,3.6,(127 Ulasan),"Graha Sapphire, Tower A, Jl. Boulevard Gading Serpong Blok M5 No. 9A, Serpong Utara, Tangerang","Pizza, Itali, Eropa",Harga untuk 2:Rp300.000,"Jam:                                      10h - 24h (Sen, Sel, Rab, Kam, Min), 10h - 1h (Jum-Sab)"
John & James,"Ruko Golden Madrid, Serpong",3.6,(19 Ulasan),"Ruko Golden Madrid 1, Jl. Letnan Sutopo, Blok D7, Serpong, Tangerang","Itali, Pizza, Kopi",Harga untuk 2:Rp150.000,Jam:                                      9h - 22h (Sen-Min)
Pizza Mangkok,Kelapa Gading,3.5,(42 Ulasan),"Jl. Boulevard Raya, Blok QA 5 No. 5, Kelapa Gading, Jakarta","Pizza, Itali",Harga untuk 2:Rp110.000,Jam:                                      11h - 22h (Sen-Min)
Noi Pizza,Pondok Indah,4.1,(137 Ulasan),"Jl. Pinang Kuningan I No. UL-4, Pondok Indah, Jakarta 12310","Pizza, Itali",Harga untuk 2:Rp170.000,Jam:                                      11h - 21h (Sen-Min)
Volare,"Cilandak Town Square, Fatmawati",3.9,(84 Ulasan),"Cilandak Town Square, Jl. TB Simatupang, Fatmawati, Jakarta","Itali, Pizza, Steak",Harga untuk 2:Rp600.000,"Jam:                                      10h - 24h (Sen, Sel, Rab, Kam, Min), 10h - 2h (Jum-Sab)"
Henk's Pizza,"Ruko Crystal 1, Serpong Utara",3.8,(111 Ulasan),"Ruko Crystal 1, Blok A No. 29, Gading Serpong, Serpong Utara, Tangerang",Pizza,Harga untuk 2:Rp250.000,Jam:                                      11h - 21h (Sen-Min)
Panties Pizza,"Bintaro Plaza, Bintaro",3.8,(108 Ulasan),"Bintaro Plaza, Lantai 2, Jl. Bintaro Utama, Bintaro Sektor 3, Bintaro, Jakarta","Pizza, Itali",Harga untuk 2:Rp80.000,Jam:                                      10h - 22h (Sen-Min)
K'Rasti Pizza,Bekasi Utara,3.8,(6 Ulasan),"Jl. Togon No. 64, Bekasi Utara, Bekasi",Pizza,Harga untuk 2:Rp100.000,Jam:                                      6h - 21h (Sen-Min)
Gian Pizza,Mangga Besar,3.7,(16 Ulasan),"Jl. Mangga Besar VIII No. 30, Mangga Besar, Jakarta",Pizza,Harga untuk 2:Rp150.000,Jam:                                      11h - 22h (Sen-Min)
Pittsa Lokal,Blok M,3.7,(14 Ulasan),"Jl. Lamandau IV No. 18, Blok M, Jakarta",Pizza,Harga untuk 2:Rp100.000,"Jam:                                      10h - 23h (Sen, Sel, Rab, Kam, Min), 10h - 23h 30m..."
Pizza Jumbo Jakarta,Manggarai,3.1,(5 Ulasan),"Jl. Dr. Saharjo No. 125e, Manggarai, Jakarta",Pizza,Harga untuk 2:Rp150.000,Jam:                                      10h - 22h (Sen-Min)
B.A.T.S - Shangri-La Hotel,"Shangri-La Hotel, Jakarta, Sudirman",3.2,(45 Ulasan),"Shangri-La Hotel, Jl. Jend. Sudirman, Sudirman, Jakarta","Pizza, Steak, Amerika",Harga untuk 2:Rp500.000,"Jam:                                      17h - 3h (Sen-Sab),17h - 1h 30m (Min)"
Goban Steak & Pizza,Mangga Besar,3.5,(10 Ulasan),"Jl. Mangga Besar VIII No. 12, Mangga Besar, Jakarta","Steak, Pizza",Harga untuk 2:Rp120.000,Jam:                                      10h - 22h (Sen-Min)
Crown Pizza Cone,"Supermall Karawaci, Cibodas",3.1,(4 Ulasan),"Supermal Karawaci, Jl. Boulevard Diponegoro No. 105, Cibodas, Tangerang",Pizza,Harga untuk 2:Rp50.000,Jam:                                      10h - 22h (Sen-Min)
Kozza Pizza Cone,Pamulang,3.1,(7 Ulasan),"Jl. Pamulang Permai, Blok I Blok A.16/13, Pamulang, Tangerang",Pizza,Harga untuk 2:Rp80.000,"Jam:                                      11h 15m - 21h (Sen),Tutup (Sel),11h - 21h (Rab-Min)"
Woodfire Gourmet,Serpong,2.9,(7 Ulasan),"Ruko Apartemen Casa De Parco No. 10, Jl. BSD Raya Barat, Serpong, Tangerang","Itali, Pizza",Harga untuk 2:Rp150.000,Jam:                                      7h - 22h (Sen-Min)
Monstercheese Pizza,Beji,2.9,(9 Ulasan),"Jl. Margonda Raya No. 263 B, Beji, Depok",Pizza,Harga untuk 2:Rp90.000,Jam:                                      9h - 22h (Sen-Min)
Magic Pizza,"Yogya Bogor, Bogor Tengah",3.0,(9 Ulasan),"Yogya Bogor, Lantai Ground, Jl. Jend. Sudirman No. 11, Bogor Tengah, Bogor","Pizza, Itali",Harga untuk 2:Rp80.000,Jam:                                      9h - 22h (Sen-Min)
Pawon,Bogor Tengah,3.0,(14 Ulasan),"Jl. Malabar No. 2, Bogor Tengah, Bogor","Steak, Pizza",Harga untuk 2:Rp80.000,"Jam:                                      11h - 22h (Sen-Kam),13h - 23h (Jum),12h - 23h (Sab-Min)"
EF Kitchen,Pondok Gede,2.7,(7 Ulasan),"Jl. Sangata Raya No. 127 A, Pondok Gede, Bekasi","Pizza, Itali",Harga untuk 2:Rp70.000,Jam:                                      10h - 22h (Sen-Min)
Hippie Peas Cafe,Serpong Utara,2.8,(6 Ulasan),"Scientia Square Park, Jl. Scientia Boulevard, Serpong Utara, Tangerang","Kopi, Pizza, Barat",Harga untuk 2:Rp150.000,Jam:                                      11h - 22h (Sen-Min)
District Cocktail and Kitchen,Kelapa Gading,4.0,(97 Ulasan),"Jl. Boulevard Raya, Blok PA 1 No. 24, Kelapa Gading, Jakarta 14420","Pizza, Asia",Harga untuk 2:Rp290.000,"Jam:                                      15h - 1h (Sen, Sel, Rab, Kam, Min), 15h - 3h (Jum-Sab)"
Patio Venue,Dharmawangsa,4.3,(273 Ulasan),"Jl. Wijaya XIII No. 45, Dharmawangsa, Jakarta 12160","Asia, Pizza",Harga untuk 2:Rp400.000,"Jam:                                      11h - 22h (Sen-Jum),8h - 22h (Sab-Min)"
Dolce e Salato,Serpong Utara,4.0,(109 Ulasan),"Jl. Alam Sutera Boulevard Alam Sutera, Serpong Utara, Tangerang","Pizza, Kopi, Itali, Desserts",Harga untuk 2:Rp225.000,"Jam:                                      10h 30m - 20h (Sen-Jum),8h - 20h (Sab-Min)"
Cup-Link Coffee & Tea,Lebak Bulus,3.1,(8 Ulasan),"Jl. Karang Tengah Raya No. 3, Lebak Bulus, Jakarta","Kafe, Kopi, Desserts, Pizza",Harga untuk 2:Rp100.000,"Jam:                                      10h - 1h (Sen-Jum),8h - 1h (Sab-Min)"
Ristorante Misticanza,Sudirman,2.9,(37 Ulasan),"Sahid Residence Apartemen, Jl. Jenderal Sudirman, Sudirman, Jakarta","Pizza, Itali, Asia",Harga untuk 2:Rp200.000,Jam:                                      11h - 23h (Sen-Min)
Joy's Gelato,"Ruko Blitz, Tangerang",3.8,(38 Ulasan),"Ruko Blitz, Blok B No. 36, Jl. Gading Serpong, Serpong Utara, Tangerang","Desserts, Ice Cream, Pizza, Kopi",Harga untuk 2:Rp75.000,Jam:                                      11h - 23h (Sen-Min)
Nazbro's,Gandaria,3.7,(14 Ulasan),"Jl. Langsat 1 No. 1, Gandaria, Jakarta","Portugal, Itali, Pizza",Harga untuk 2:Rp200.000,Jam:                                      11h - 22h (Sen-Min)
